First name	Middle initial(s)	Last name	2nd affiliation	3rd affiliation	osf_id	twitter	mattermost	As co-author, I have read and approve submission of this manuscript	participated in event (for example: led or joined a hackathon project)	organized or helped organizing an event	taught at event (for example: traintrack)	attended any general group meetings of this project	attended any core group meetings of this project	led general group meetings	led core group meetings	prepared meeting venue (zoom) (for any meeting)	prepared meeting agenda	managed meeting times (doodle)	took notes in meeting	monitored chat in meeting	prepared or emailed meeting summaries to the group	contributed to paper brainstorm	attended section group meetings	wrote original section content	revised for a section	created figures	created tables, glossary	gathered data	performed master editing	performed internal review	responded to internal review and revised manuscript	participated in the jupyter book creation	prepared / gave presentations at Brainhack global events	preprint dissemination	List the brainhack events you participated at and/or helped organized and/or taught at.	projects	reproducibility	trainings	community / collaboration	better code	Feel free to add any other information regarding your contribution.	ranking	joint_first	Author_ID
Eleftherios		Garyfallidis				garyfallidis	eleftherios	X	X	X	X	X	X																		X		X	X	Presented at Brainhack Montreal, organized all Brainhack GLOBAL events at Indiana University, Presented at OHBM Brainhack events							1067		20
Tristan		Glatard						X	X	X	X																								Brainhack Montreal 2019, Brainhack School 2019 and 2020						Treasurer of OSSIG 2021	1070		151
Enrico		Glerean	International Laboratory of Social Neurobiology, Institute of Cognitive Neuroscience / National Research University Higher School of Economics / Moscow / Russia																																							1071		204
Javier		Gonzalez-Castillo																																								1072		202
Cassandra	D.	Gould van Praag	Department of Psychiatry / University of Oxford / Oxford / UK		7s93g/	Cassgvp	Cassgvp	X	X	X		X																							OHBM 2019; OHBM 2020						Please feel free to remove OHBM 2020 participation/organisation if not appropriate :)	1073		153
Abigail	S.	Greene																																								1074		163
Geetika		Gupta	Brain and Mind Institute / Western University / London, ON / Canada		qr5zf/	_geetikagupta	ggupta	X	X	X	X	X																							Organizer for BrainHack Western 2017-2019							1076		97
C. Alice		Hahn																																								1077		196
Yaroslav	O.	Halchenko																																								1078		177
Daniel		Handwerker																																								1079		186
Thomas	S.	Hartmann						X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X			X	X	X	X	X					Brainhack Marburg	X		X	X	X		1080		26
Valérie		Hayot-Sasson						X	X	X	X																								BrainHack MTL 2017 (participated), BrainHackMTL 2019 (helped organized), BrainHack School MTL 2019/2020 (organization)							1081		155
Stephan		Heunis			mj3yt	fmrwhy	jsheunis	X	X	X																						X		X	OHBM Hackathon 2019 & 2020, OSSIG member of OHBM 2020							1085		118
Felix		Hoffstaedter	Institute of Systems Neuroscience, Medical Faculty / Heinrich-Heine University Duesseldorf / Duesseldorf / Germany			Felix_BnB	felixh	X	X	X																									participant @OHBM Hackathon 2016-2018, OHBM Open Science Room Chair 2018							1086		145
Daniela	M.	Hohmann			x6rg4		dmhohmann	X	X			X																							Brainhack Marburg							1087		152
Corey		Horien																																								1088		200
Horea-Ioan		Ioanas	D-ITET / ETH Zurich / Zurich / Switzerland			TheChymera	chymera	X	X	X	X																X				X	X			participated: Paris 2016, Lausanne 2017, Zurich 2017; organized: Zurich 2018,2019							1091		49
Alexandru	D.	Iordan																																								1092		169
Chao		Jiang																																								1093		168
Michael		Joseph																																								1094		210
Jason		Kai						X	X	X	X																								OHBM Hackathon 2017, Brainhack Western 2017 - 2019, Brainhack Ontario 2020, Brainhack CAN/ACN 2019							1095		98
Agah		Karakuzu	Montreal Heart Institute / Université de Montréal / Montréal, QC / Canada		jz9hs	agahkarakuzu	agahkarakuzu	X	X	X	X	X																							Taught at BHG 2020 & BH School 2019-2020, Attended all the BH Montreal event and helped organize some						Developed authoring pipeline for the brainhack proceedings	1096		125
David	N.	Kennedy																																								1097		165
Anisha		Keshavan	eScience Institute / University of Washington / Seattle, WA / USA	Institute for Learning and Brain Science / University of Washington / Seattle, WA / USA		akeshavan_		X	X	X	X																								co-organized brainhack singapore!							1098		102
Ali	R.	Khan																																								1099		182
Gregory		Kiar				g_kiar	gkiar	X	X	X	X																						X		former hackathon co-chair (OHBM 2018, Montreal 2018-2020), co-founder of the traintrack, OS sig treasurer, instructor							1100		13
P. Christiaan		Klink				chrizklink	chrisklink	X	X			X																			X				Participant at Brainhack Comparative MRI London 2019 (Prime-RE & RheMAP projects) and at the Brainweb (RheMAP & AFIDS projects)							1101		51
Vincent		Koppelmans																																								1103		173
Serge		Koudoro				skoudoro	skoudoro	X	X	X	X																								Co-organizer/Teacher BrainHack Bloomington, IN,  2018, 2019; Participated in a number of Hackatons like OHBM-hackatons 2019/201							1104		90
Angela	R.	Laird			bux4q	phyzang	alaird	X	X	X	X	X																			X		X		BrainHack Miami co-organizer; ABCD-ReproNim organizer/instructor							1105		24
Georg		Langs	CSAIL / MIT / Cambridge, MA / USA			georg		X	X	X	X	X																		X	X				Organized: Vienna 2016, Vienna 2019; Participated in many, e.g., Paris 2016, Leipzig 2016							1106		80
Marissa	L.	Laws																																								1107		212
Roxane		Licandro	/ TU Wien / Vienna / Austria					X	X	X																									Brain Hack Vienna 2016, Brain Hack Vienna 2019							1110		14
Sook-Lei		Liew				NPNLatUSC	sliew	X	X	X																					X		X	X	Organized Brainhack LA 2016 (http://brainhack.org/LA) & Brainhack globals (DC 2014, LA 2015), participated in OHBM's 2016, 2018						I will happily disseminate the preprint once it's live :)	1111		116
Tomislav		Lipic			jyzah/			X	X	X			X		X		X									X		X							Brainhack Zagreb, 2018, 2019, 2020							1112		141
Krisanne		Litinas																																								1113		172
Daniel	J	Lurie			ukpv7	danjlurie	danjlurie	X	X	X	X																								Berkeley 2016 (chair), SF 2017 (chair, instructor), SF 2018 (participant), OHBM Vancouver (participant), OHBM Rome (participant)							1114		148
Désirée		Lussier																																								1115		176
Christopher	R.	Madan			4tqns	cMadan	cmadan	X	X	X																				X				X	Brainhack Global: Boston (2017), Brainhack Non-Human Primate Analysis Tools (2019)							1116		43
Lea-Theresa		Mais					lea_m	X	X																					X					Brainhack 2019 & 2020							1117		77
Sina		Mansour L.				sina_mansour_l	sina_mansour_l	X	X	X												X											X		git and github, docker and singularity, best coding practices							1119		79
J.P.		Manzano-Patron				josepemanzano		X	X	X	X	X																							+BHG Madrid 2018 Organizer ++ attendee at BHG 2017 Bilbao and OHBM/Brainhacks+							1120		55
Dimitra		Maoutsa						X	X																						X				Marburg							1121		59
